"Date","Price","Open","High","Low","Change %"
"Jan 10, 2000","72.725","72.500","72.725","72.500","-0.24%"
"Jan 07, 2000","72.900","72.650","72.900","72.650","0.28%"
"Jan 06, 2000","72.700","72.450","72.700","72.450","1.68%"
"Jan 05, 2000","71.500","71.250","71.500","71.250","0.00%"
"Jan 04, 2000","71.500","71.250","71.500","71.250","-0.97%"
"Jan 03, 2000","72.200","72.100","72.200","72.100","0.98%"
"Dec 31, 1999","71.500","71.250","71.500","71.250","0.00%"
"Dec 30, 1999","71.500","71.250","71.500","71.250","0.00%"
"Dec 29, 1999","71.500","71.250","71.500","71.250","0.00%"
"Dec 28, 1999","71.500","71.250","71.500","71.250","-0.07%"
"Dec 27, 1999","71.550","71.300","71.550","71.300","-0.03%"
"Dec 24, 1999","71.575","71.350","71.575","71.350","0.03%"
"Dec 23, 1999","71.550","71.300","71.550","71.300","0.00%"
"Dec 22, 1999","71.550","71.300","71.550","71.300","0.00%"
"Dec 21, 1999","71.550","71.300","71.550","71.300","0.00%"
"Dec 20, 1999","71.550","71.300","71.550","71.300","-0.21%"
"Dec 17, 1999","71.700","71.450","71.700","71.450","-0.21%"
"Dec 16, 1999","71.850","71.500","71.850","71.500","0.00%"
"Dec 15, 1999","71.850","71.500","71.850","71.500","0.00%"
"Dec 14, 1999","71.850","71.600","71.850","71.600","-0.14%"
"Dec 13, 1999","71.950","71.700","71.950","71.700","0.00%"
"Dec 10, 1999","71.950","71.700","71.950","71.700","-0.42%"
"Dec 09, 1999","72.250","72.000","72.250","72.000","0.00%"
"Dec 08, 1999","72.250","72.000","72.250","72.000","0.00%"
"Dec 07, 1999","72.250","72.000","72.250","72.000","0.38%"
"Dec 06, 1999","71.975","71.800","71.975","71.800","-0.31%"
"Dec 03, 1999","72.200","71.950","72.200","71.950","0.21%"
"Dec 02, 1999","72.050","71.800","72.050","71.800","-0.28%"
"Dec 01, 1999","72.250","72.000","72.250","72.000","0.21%"
"Nov 30, 1999","72.100","71.850","72.100","71.850","0.07%"
"Nov 29, 1999","72.050","71.800","72.050","71.800","0.21%"
"Nov 26, 1999","71.900","71.700","71.900","71.700","-0.21%"
"Nov 25, 1999","72.050","71.800","72.050","71.800","0.07%"
"Nov 24, 1999","72.000","71.750","72.000","71.750","0.07%"
"Nov 23, 1999","71.950","71.700","71.950","71.700","0.00%"
"Nov 22, 1999","71.950","71.700","71.950","71.700","0.00%"
"Nov 19, 1999","71.950","71.700","71.950","71.700","0.00%"
"Nov 18, 1999","71.950","71.700","71.950","71.700","-0.21%"
"Nov 17, 1999","72.100","71.850","72.100","71.850","-0.07%"
"Nov 16, 1999","72.150","71.900","72.150","71.900","0.49%"
"Nov 15, 1999","71.800","71.600","71.800","71.600","-0.35%"
"Nov 12, 1999","72.050","71.800","72.050","71.800","0.14%"
"Nov 11, 1999","71.950","71.700","71.950","71.700","-0.14%"
"Nov 10, 1999","72.050","71.800","72.050","71.800","0.00%"
