Date,Price,Open,High,Low,Change %
Aug-16,145.3,145.85,146.475,144.75,0.37%
Sep-16,146.3,145.6,146.975,144.79,0.69%
Oct-16,147.4,146.625,148.15,146.2,0.75%
Nov-16,148.55,147.8,149.25,147.3,0.78%
Dec-16,149.6,148.85,150.4,147.95,0.71%
Jan-17,149.95,149.75,150.75,149.25,0.23%
Feb-17,152.34,150.15,152.71,150.15,1.59%
Mar-17,151.72,151.4,152.67,150.975,-0.41%
Apr-17,151.95,152.1,152.925,151.41,0.15%
May-17,152.45,152.5,153.075,151.74,0.33%
Jun-17,153,152.605,153.735,151.87,0.36%
Jul-17,153.5,153.55,153.875,153.275,0.33%
Aug-17,152.7,153.525,153.65,152.725,-0.52%
Sep-17,152.98,152.675,153.275,152.275,0.18%
Oct-17,153.55,153.075,153.925,153.05,0.37%
Nov-17,153.55,153.65,153.925,153.15,0.00%
Dec-17,153.4,153.6,153.725,152.425,-0.10%
Jan-18,153.9,153.55,154.25,153.325,0.33%
Feb-18,154.95,153.95,155.95,153.9,0.68%
Mar-18,155.6,155.1,156.275,154.95,0.42%
Apr-18,157.6,155.6,157.85,155.05,1.29%
May-18,158.15,157.75,158.7,157.45,0.35%
Jun-18,158.2,158.35,160.35,157.95,0.03%
Jul-18,159.55,158.25,160.15,158.225,0.85%
Aug-18,161.4,159.625,161.6,159.5,1.16%
Sep-18,169,161.525,169.45,161.2,4.71%
Oct-18,175.3,169.25,175.8,168.95,3.73%
Nov-18,178.5,175.25,180.9,173.5,1.83%
Dec-18,182.6,179.05,183.25,178.375,2.30%
Jan-19,178.15,182.9,183.15,178.3,-2.44%
Feb-19,179.9,178.4,180.575,176.4,0.98%
Mar-19,175.35,180.1,180.1,175.15,-2.53%
Apr-19,176,175.45,176.55,174,0.37%
May-19,176.2,176.25,177.8,174.6,0.11%
Jun-19,176.4,176.55,177.05,176.05,0.11%
Jul-19,176.3,176.425,176.6,175.25,-0.06%
Aug-19,179.2,176.375,181.15,176.3,1.64%
Sep-19,182,179.375,182.175,179.05,1.56%
Oct-19,181.05,182.075,182.55,180.25,-0.52%
Nov-19,180.85,181.225,181.85,179,-0.11%
Dec-19,181.3,180.93,181.825,180.35,0.25%
Jan-20,181.35,181.5,181.725,180.8,0.03%
Feb-20,181.85,181.425,182.025,181.3,0.28%
Mar-20,189,181.875,189.25,181.7,3.93%
Apr-20,190,189.25,195,188.5,0.53%
May-20,186.2,190.5,191,184.625,-2.00%
Jun-20,186.15,186.15,186.95,184.9,-0.03%
Jul-20,185.55,186.15,186.325,185.315,-0.32%
Aug-20,185.8,185.675,187,182.35,0.13%
Sep-20,184.9,185.9,186.25,184,-0.48%
Oct-20,184.25,184.85,184.975,184.06,-0.35%
Nov-20,185.5,184.225,186.15,184.225,0.68%
Dec-20,185,185.65,190.5,185.15,-0.27%
Jan-21,190.5,185.5,198.25,185.25,2.97%
Feb-21,194,191.25,198.25,190.75,1.84%
Mar-21,198.5,194,201,194,2.32%
Apr-21,197,200,204,189,-0.76%
May-21,197,196.5,198.75,195,0.00%
Jun-21,199,197,199.5,197,1.02%
Jul-21,199,199.5,200,198,0.00%
Aug-21,199,199.5,200.5,199,0.00%
Sep-21,199,199.75,201.5,198.95,0.00%
Oct-21,200,200,202.75,199.475,0.50%
Nov-21,202.5,202,202.75,201,1.25%
Dec-21,202.75,202,202.875,201.5,0.12%
Jan-22,201.2,201.5,203.88,201.16,-0.76%
Feb-22,200.92,202.4,203.91,201.12,-0.14%
Mar-22,294,201.99,301.065,200.6,46.33%
Apr-22,355,293.995,357.13,291.72,20.75%
May-22,362,354.995,377,352.14,1.97%
